Airliner_code,Airliner_name,Airliner_RT
GNL ,135 Airways ,GENERAL 
WYT ,2 Sqn No 1 Elementary Flying Training School ,WYTON 
TFU ,213th Flight Unit ,THJY 
CHD ,223rd Flight Unit ,CHKALOVSK-AVIA 
TTF ,224th Flight Unit ,CARGO UNIT 
TWF ,247 Jet Ltd ,CLOUD RUNNER 
SEC ,3D Aviation ,SECUREX 
MLA ,40-Mile Air ,MILE-AIR 
QRT ,4D Air ,QUARTET 
PIU ,43 Air School ,PRIMA 
AIJ ,Interjet ,ABC Aerolineas 
RYA ,Ryan Air Services ,RYAN AIR 
BRO ,2Excel Aviation ,BROADSWORD 
PSC ,Pascan Aviation ,PASCAN 
WSN ,Advanced Air ,WINGSPAN 
GBT ,A-Jet Aviation Aircraft Management ,GLOBETROTTER 
AJR ,A-Jet Aviation Company ,JET MONGOLIA 
SFM ,A-Safar Air Services ,AIR SAFAR 
AJJ ,A2 Jet Leasing ,ATLANTIC JET 
LEP ,Air Costa ,LECOSTA 
NKP ,Abakan Air ,ABAKAN AIR 
OWN ,Aero Owen ,AERO OWEN 
ASR ,Aero Sotravia ,SOTRAVIA 
ARH ,Aerohelicopteros ,AEROHELCA 
VMX ,Aeroventas de Mexico ,VENTA 
ATW ,Air Antwerp ,DEVIL 
FSY ,Algonquin Airlink ,FROSTY 
TTX ,Alliance Air Charters ,TWISTER 
ALN ,Alpha Jet ,TOLEMAC 
UJX ,Atlas Ukraine Airlines ,ATLAS UKRAINE 
RGR ,Avior Regional ,AVIOR REGIONAL 
NGF ,Air Charity Network ,ANGEL FLIGHT 
WFT ,Aircharters Worldwide ,WORLD FLIGHT 
ATT ,Attawasol Airlines ,ATTAWASOL AIR 
EDY ,Apollo Air Service ,STOBART 
IWY ,InterCaribbean Airways ,ISLANDWAYS 
ASL ,Air Serbia ,AIR SERBIA 
LYN ,Air Kyrgyzstan ,ALTYN AVIA 
CCM ,Air Corsica ,CORSICA 
AHS ,AHS Air International ,HIGH SKY 
ROO ,Aero Roa ,AERO ROA 
SUP ,Aeronautical Charters ,SUN SPEED 
PSO ,Aerotaxis Pegaso ,AEROPEGASO 
EIN ,Aer Lingus ,SHAMROCK 
VLB ,Air Volta ,VOLTA 
FCJ ,AirSprint US ,FRACJET 
TEW ,Airteam Charter ,TEAMWORK 
STT ,Alpha Star Charter ,STAR CHARTER 
HEZ ,Arrow Aviation ,ARROW 
DRO ,Adro Servicios Aereos ,ADRO SERVICIOS 
RVQ ,Aero Jet International ,REVA AIR 
ASK ,Aerosky ,MULTISKY 
AEH ,Aero4m ,AEROCUTTER 
ERO ,Aeroecom ,AEROECOM 
XAU ,Aerolink Uganda ,PEARL 
NKY ,Aeromonkey ,AEROMON 
AGA ,AG Air ,GEOLINE 
ABZ ,Air Ambulance Services ,ISLAND LIFEFLIGHT 
ROU ,Air Canada Rouge ,ROUGE 
CNM ,Air China Inner Mongolia ,MENGYUAN 
VRE ,Air Côte d'Ivoire ,COTE DIVORIE 
AXY ,Air X Charter ,LEGEND 
OES ,ART Aviation ,ART AUSTRIA 
ASF ,Austrian Air Force ,AUSTRIAN AIRFORCE 
AVG ,Aviation Legacy ,AVILEF 
AZY ,Aztec Worldwide Airlines ,AZTEC WORLD 
AAB ,Abelag Aviation ,ABG 
ACX ,Air Cargo Germany ,LOADMASTER 
AAD ,Aero Aviation Centre Ltd. ,SUNRISE 
SII ,Aero Servicios Ejecutivos Internacionales ,ASEISA 
BZS ,Aero Biniza ,BINIZA 
,Aero Comondu ,AERO COMONDU 
AET ,Aero-Palma ,AERO PALMA 
ABM ,Aero Albatros ,ALBATROS ESPANA 
RSO ,Aero Asia International ,AERO ASIA 
AAF ,Aigle Azur ,AIGLE AZUR 
AAO ,Atlantis Airlines (USA) ,ATLANTIS AIR 
AAP ,Aerovista Airlines ,AEROVISTA GROUP 
AAR ,Asiana Airlines ,ASIANA 
AAS ,Askari Aviation ,AL-ASS 
AAU ,Australia Asia Airlines ,AUSTASIA 
AAV ,Astro Air International ,ASTRO-PHIL 
AAW ,Afriqiyah Airways ,AFRIQIYAH 
AFU ,Afrinat International Airlines ,AFRINAT 
AAX ,Afric'air Express ,AFREX 
BRL ,Air Brasd'or ,BRASD\'OR 
AFH ,Air Fecteau ,FECTO 
BRM ,Air 500 ,BOOMERANG 
AAG ,Atlantic Flight Training ,ATLANTIC 
AAG ,Air Atlantique ,ATLANTIC 
AAJ ,Air Alma ,AIR ALMA 
ADT ,Air Dorval ,AIR DORVAL 
AHN ,Air Hungaria ,AIR HUNGARIA 
AHR ,Air Adriatic ,ADRIATIC 
AHK ,Air Hong Kong ,AIR HONG KONG 
AHS ,Air Viggi San Raffaele ,AIRSAR 
AEQ ,Air Express ,LUNA 
AAI ,Air Aurora ,BOREALIS 
ACU ,Air Cargo Transportation System ,AFRISPIRIT 
ADC ,Air Atlantic Dominicana ,ATLAN-DOMINICAN 
ADW ,Air Andaman ,AIR ANDAMAN 
AEA ,Air Europa ,EUROPA 
AEY ,Air Italy ,AIR ITALY 
ASW ,Air Southwest Ltd. ,AIRSOUTHWEST 
ASX ,Air Special ,AIRSPEC 
AMU ,Air Macau ,AIR MACAO 
AMW ,Air Midwest ,AIR MIDWEST 
SEY ,Air Seychelles ,SEYCHELLES 
SFB ,Air Sofia ,AIR SOFIA 
BRF ,Air Bravo ,AIR BRAVO 
AFR ,Air France ,AIRFRANS 
ACG ,Air Partner ,AIR PARTNER 
ACI ,Air Caledonie International ,AIRCALIN 
VSG ,AirClass Airways ,VISIG 
AKX ,Air Nippon Network Co. Ltd. ,ALFA WING 
ALM ,Air ALM ,ANTILLEAN 
ALN ,Air Lincoln ,CHICAGO LINCOLN 
ACM ,Air Caledonia ,WEST CAL 
AGM ,Air Guam ,AIR GUAM 
AWI ,Air Wisconsin ,WISCONSIN 
ALU ,Air Luxor STP ,LUXORJET 
RSI ,Air Sunshine ,AIR SUNSHINE 
AGN ,Air Gabon ,GOLF NOVEMBER 
AFV ,Air Afrique Vacancies ,AFRIQUE VACANCE 
AJX ,Air Japan ,AIR JAPAN 
LIB ,Air Liberté ,AIR LIBERTE 
KLA ,Air Lithuania ,KAUNAS 
AMG ,Air Minas Linhas Aéreas ,AIR MINAS 
ANT ,Air North Charter - Canada ,AIR NORTH 
ANV ,Air Nevada ,AIR NEVADA 
ANZ ,Air New Zealand ,NEW ZEALAND 
AMI ,Air Maldives ,AIR MALDIVES 
AML ,Air Malawi ,MALAWI 
AMN ,Air Montenegro ,MONTENEGRO 
BIE ,Air Mediterranee ,MEDITERRANEE 
MKG ,Air Mekong ,MEKONG 
TAH ,Air Moorea ,AIR MOOREA 
AVZ ,Air Valencia ,AIR VALENCIA 
AMO ,Air Montreal (Air Holdings Inc.) ,AIR MONTREAL 
AMR ,Air Specialties Corporation ,AIR AM 
AMS ,Air Muskoka ,AIR MUSKOKA 
AOJ ,Avcon Jet ,ASTERIX 
AJU ,Air Jetsul ,AIRJETSUL 
LIV ,Air Livonia ,LIVONIA 
ABL ,Air BC ,AIRCOACH 
LJA ,Air Jamahiriya Company ,AIR JAMAHIRIYA 
AGV ,Air Glaciers ,AIR GLACIERS 
MVM ,Air Cargo America ,PEGASUS 
AMY ,Air Ambar ,AIR AMBAR 
VGA ,Air Vegas ,AIR VEGAS 
AOU ,Air Tractor ,AIR TRACTOR 
APA ,Air Park Aviation Ltd. ,CAN-AM 
APG ,Air People International ,AIR PEOPLE 
ANA ,All Nippon Airways ,ALL NIPPON 
ANB ,Air Navigation And Trading Co. Ltd. ,AIR NAV 
NGO ,Air-Angol ,AIR ANGOL 
TWG ,air-taxi Europe ,TWINGOOSE 
NGP ,Air Nigeria ,REGAL EAGLE 
SNC ,Air Cargo Carriers ,NIGHT CARGO 
SND ,Air Samarkand ,ARSAM 
SNG ,Air Senegal International ,AIR SENEGAL 
SNY ,Air Sandy ,AIR SANDY 
AII ,Air Integra ,INTEGRA 
BFF ,Air Baffin ,AIR BAFFIN 
BDM ,Air Bandama ,BANDAMA 
BER ,Air Berlin ,AIR BERLIN 
ABT ,Air Brousse ,AIR BROUSSE 
APV ,Air Plan International ,AIR PLAN 
ARX ,"Air Xpress, Inc. ",AIREX 
HTT ,Air Tchad ,HOTEL TANGO 
ARZ ,Air Resorts ,AIR RESORTS 
ASB ,Air-Spray 1967 Ltd. ,AIR SPRAY 
ASC ,Air Star Corporation ,AIR STAR 
ASD ,Air Sinai ,AIR SINAI 
AQN ,Air Queensland ,BUSHAIR 
ARR ,Air Armenia ,AIR ARMENIA 
ABR ,ASL Airlines Ireland ,CONTRACT 
AIL ,Air Illinois ,AIR ILLINOIS 
AIC ,Air India Limited ,AIRINDIA 
SPM ,Air Saint Pierre ,SAINT-PIERRE 
WOW ,Air Southwest ,SWALLOW 
ATJ ,Air Traffic GmbH ,SNOOPY 
ATN ,Air Transport International ,AIR TRANSPORT 
ATQ ,Air Transport Schiphol ,MULTI 
AVG ,Air Falcon ,DJIBOUTI FALCON 
AVN ,Air Vanuatu ,AIR VAN 
BUB ,Air Bourbon ,BOURBON 
ABD ,Air Atlanta Icelandic ,ATLANTA 
AIE ,Air Inuit ,AIR INUIT 
AIS ,Air Sureste ,SURESTE 
SBK ,Air Srpska ,Air Srpska 
THT ,Air Tahiti Nui ,TAHITI AIRLINES 
NMB ,Air Namibia ,NAMIBIA 
NSK ,Air Intersalonika ,INTERSALONIKA 
NTL ,Air Anatolia ,AIR ANATOLIA 
SGA ,Air Saigon ,AIR SAIGON 
AFW ,Afrique Regional Airways ,AFRAIR 
AFW ,Africa World Airlines ,BLACKSTAR 
ACX ,Air Charters ,PARAIR 
AEL ,Air Europe Italy ,AIR EUROPE 
AJM ,Air Jamaica ,JAMAICA 
AWN ,Air Niamey ,AIR NIAMEY 
AWT ,Air West ,AIR WEST 
AWW ,Air Wales ,RED DRAGON 
FWI ,Air Caraïbes ,FRENCH WEST 
AXB ,Air India Express ,EXPRESS INDIA 
AXD ,Air Express ,AIR SUDEX 
BSB ,Air Wings ,ARBAS 
BTI ,Air Baltic ,AIRBALTIC 
ANI ,Air Atlantic (Nig) Limited ,NIGALANTIC 
ANK ,Air Nippon ,ANK AIR 
ANE ,Air Nostrum ,AIR NOSTRUM 
ANG ,Air Niugini ,NIUGINI 
ABY ,Air Arabia ,ARABIA 
ACA ,Air Canada ,AIR CANADA 
LAV ,AlbaStar ,ALBASTAR 
MHS ,Air Memphis ,AIR MEMPHIS 
AXL ,Air Exel ,EXEL COMMUTER 
AZF ,Air Zermatt AG ,AIR ZERMATT 
AZW ,Air Zimbabwe ,AIR ZIMBABWE 
MHU ,Air Memphis ,MEPHIS UGANDA 
MKH ,Air Marrakech Service ,AIR MARRAKECH 
AZX ,Air Max Africa ,AZIMA 
RSH ,Air Sahara ,SAHARA 
ATC ,Air Tanzania ,TANZANIA 
VBW ,Air Burkina ,BURKINA 
ATH ,Air Travel Corp. ,AIR TRAVEL 
AMC ,Air Malta ,AIR MALTA 
TGA ,Air Togo ,AIR TOGO 
ASJ ,Air Satellite ,SATELLITE 
ASS ,"Air Class, S.A. de C.V. ",AIR CLASS 
NPL ,Air Nepal International ,AIR NEPAL 
WAM ,Air Taxi & Cargo ,TAXI CARGO 
RSM ,Air Somalia ,AIR SOMALIA 
AAY ,Allegiant Air ,ALLEGIANT 
AAZ ,Angus Aviation ,ANGUS 
ABA ,Artem-Avia ,ARTEM-AVIA 
ABB ,African Business and Transportations ,AFRICAN BUSINESS 
ABE ,Aban Air ,ABAN 
ABF ,Aerial Oy ,SKYWINGS 
ABG ,Abakan-Avia ,ABAKAN-AVIA 
TUS ,ABSA Cargo ,Turismo 
ABK ,Alberta Citylink ,ALBERTA CITYLINK 
ABO ,APSA Colombia ,AEROEXPRESO 
ABU ,Aerovías Bueno ,AEROBUENO 
ACR ,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión ",AEROCENTER 
ABV ,Antrak Air ,ANTRAK 
ABX ,Airborne Express ,ABEX 
ABX ,ABX Air ,ABEX 
ABZ ,ATA Brasil ,ATA-BRAZIL 
ACD ,Academy Airlines ,ACADEMY 
ACP ,Astral Aviation ,ASTRAL CARGO 
ACY ,Atlas Cargo Airlines ,ATLAS CARGOLINES 
ADA ,Airservices Australia ,AUSCAL 
ADB ,Antonov Airlines ,ANTONOV BUREAU 
ADE ,Ada Air ,ADA AIR 
ADG ,Aerea Flying Training Organization ,AEREA TRAINING 
ADI ,Audeli Air ,AUDELI 
ADJ ,Abidjan Air Cargo ,ABICAR 
ADK ,ADC Airlines ,ADCO 
ADL ,Aero Dynamics ,COTSWOLD 
ADN ,Aero-Dienst ,AERODIENST 
ADP ,Aerodiplomatic ,AERODIPLOMATIC 
ADY ,Aerodyne ,AERODYNE 
ADQ ,Avion Taxi ,AIR DATA 
ADR ,Adria Airways ,ADRIA 
ADS ,Aviones de Sonora ,SONORAV 
ADU ,Airdeal Oy ,AIRDEAL 
ADV ,Advance Air Charters ,ADVANCE 
AEB ,Aero Benin ,AEROBEN 
AEC ,Aerocésar ,AEROCESAR 
ADX ,Anderson Aviation ,ANDAX 
AEE ,Aegean Airlines ,AEGEAN 
AEG ,Aerofumigaciones Sam ,FUMIGACIONES SAM 
GLG ,Aerogal ,AEROGAL 
AEI ,Aeroexpreso Interamericano ,INTERAM 
AEJ ,Air Express ,KHAKI EXPRESS 
AEK ,Aerocon ,AEROCON 
AEM ,Aero Madrid ,AEROMADRID 
AEN ,Air Enterprise ,AIR ENTERPRISE 
AEO ,Aeroservicios Ejecutivos Del Occidente ,AERO OCCIDENTE 
AEP ,Aerotec Escuela de Pilotos ,AEROTEC 
AER ,Alaska Central Express ,ACE AIR 
AES ,ACES Colombia ,ACES 
AAH ,Aloha Air Cargo ,ALOHA 
AAK ,Alaska Island Air ,ALASKA ISLAND 
AAL ,American Airlines ,AMERICAN 
AAA ,Ansett Australia ,ANSETT 
AAC ,Army Air Corps ,ARMYAIR 
AEU ,Astraeus ,FLYSTAR 
AEV ,Aeroventas ,AEROVENTAS 
AEW ,Aerosvit Airlines ,AEROSVIT 
AEX ,Airway Express ,AVCO 
AEZ ,Aerial Transit ,AERIAL TRANZ 
AFA ,Alfa Air ,BLUE ALFA 
AFB ,American Falcon ,AMERICAN FALCON 
UTY ,Alliance Airlines ,UNITY 
UVS ,Air Universal ,UNI-LEONE 
UVT ,Auvia Air ,AUVIA 
AFC ,African West Air ,AFRICAN WEST 
AFE ,Airfast Indonesia ,AIRFAST 
AFG ,Ariana Afghan Airlines ,ARIANA 
AFI ,Africaone ,AFRICAWORLD 
AFJ ,Alliance Air ,JAMBO 
AFK ,Africa Air Links ,AFRICA LINKS 
AFL ,Aeroflot Russian Airlines ,AEROFLOT 
AFO ,Aero Empresa Mexicana ,AERO EMPRESA 
AFQ ,Alba Servizi Aerotrasporti ,ALBA 
AFY ,Africa Chartered Services ,AFRICA CHARTERED 
AFZ ,Africa Freight Services ,AFREIGHT 
AGC ,Arab Agricultural Aviation Company ,AGRICO 
AGF ,Atlantic Gulf Airlines ,ATLANTIC GULF 
SLI ,Aeroméxico Connect ,COSTERA 
AGG ,Algoma Airways ,ALGOMA 
AGH ,Altagna ,ALTAGNA 
AGO ,Angola Air Charter ,ANGOLA CHARTER 
AGP ,AERFI Group ,AIR TARA 
AGQ ,Aerogala ,GALASERVICE 
AGT ,Amadeus IT Group ,AMADEUS 
AGU ,Angara Airlines ,SARMA 
AGW ,Aero Gambia ,AERO GAMBIA 
AGX ,Aviogenex ,GENEX 
BLR ,Atlantic Coast Airlines ,BLUE RIDGE 
BLZ ,Aero Barloz ,AEROLOZ 
PLI ,Aeroperú ,Aeroperu 
BMM ,Atlas Blue ,ATLAS BLUE 
BNB ,Aero Banobras ,AEROBANOBRAS 
AGY ,Aero Flight Service ,FLIGHT GROUP 
AGZ ,Agrolet-Mci ,AGROLET 
AHA ,Air Alpha Greenland ,AIR ALPHA 
AHC ,Azal Avia Cargo ,AZALAVIACARGO 
AHE ,"Airport Helicopter Basel, Muller & Co. ",AIRPORT HELICOPTER 
CJE ,Aeroservices Corporate ,BIRD JET 
AHF ,Aspen Helicopters ,ASPEN 
AHG ,Aerochago Airlines ,AEROCHAGO 
AHH ,Airplanes Holdings ,AIRHOLD 
AHP ,Aerochiapas ,AEROCHIAPAS 
AHU ,ABC Air Hungary ,ABC HUNGARY 
AHW ,Aeromist-Kharkiv ,AEROMIST 
AHY ,Azerbaijan Airlines ,AZAL 
AIA ,Avies ,AVIES 
AIB ,Airbus Industrie ,AIRBUS INDUSTRIE 
AIH ,Air Incheon ,AIR INCHEON 
ASV ,Air Seoul ,AIR SEOUL 
AIJ ,ABC Aerolíneas ,ABC AEROLINEAS 
AIK ,African Airlines International Limited ,AFRICAN AIRLINES 
AIN ,African International Airways ,FLY CARGO 
AIP ,Alpine Air Express ,ALPINE AIR 
AIU ,Alicante Internacional Airlines ,ALIA 
ABP ,ABS Jets ,BAIR 
ABQ ,Airblue ,PAKBLUE 
THM ,Airmark Aviation ,THAI AIRMARK 
AIR ,Airlift International ,AIRLIFT 
AIV ,Airvias S/A Linhas Aéreas ,AIRVIAS 
BES ,Aero Services Executive ,BIRD EXPRESS 
AIW ,Atlantic Island Airways ,TARTAN 
AIX ,Aircruising Australia ,CRUISER 
AIY ,Aircrew Check and Training Australia ,AIRCREW 
AIZ ,Arkia Israel Airlines ,ARKIA 
AJA ,Afghan Jet International Airlines ,AFGHAN JET 
AJB ,Aero JBR ,AERO JBR 
AJE ,Aero Jet Express ,JET EXPRESS 
AJF ,Avia Consult Flugbetriebs ,AVIACONSULT 
AJI ,Ameristar Jet Charter ,AMERISTAR 
AJK ,Allied Air ,BAMBI 
AJO ,Aero Ejecutivo ,AEROEXO 
AJP ,Aero Jets Corporativos ,AEROJETS 
AJS ,Aeroejecutivos Colombia ,AEROEJECUTIVOS 
AJT ,Amerijet International ,AMERIJET 
AJV ,ANA & JP Express ,AYJAY CARGO 
AJW ,Alpha Jet International ,ALPHAJET 
AJY ,AJet ,AYJET 
AKB ,Aktjubavia ,KARAB 
AKC ,Arca Aerovías Colombianas Ltda. ,ARCA 
AKF ,Anikay Air Company ,ANIKAY 
AKH ,Akhal ,AKHAL 
MNI ,Aeromilenio ,AEROMIL 
AKK ,Aklak Air ,AKLAK 
AKN ,Alkan Air ,ALKAN AIR 
AKW ,Angkor Airways ,ANGKORWAYS 
AKZ ,AK Navigator LLC ,ABSOLUTE 
ALB ,Aero Albatros ,ALBATROS 
ALD ,Albion Aviation ,ALBION 
ALE ,Aeroalas Colombia ,AEROALAS 
ALF ,Allied Command Europe (Mobile Force) ,ACEFORCE 
BTS ,Aerotaxis Albatros ,AEROLINEAS ALBATROS 
FYS ,American Flyers ,AMERICAN FLYERS 
DFA ,Aero Coach Aviation ,AERO COACH 
ASQ ,Atlantic Southeast Airlines ,ACEY 
BVR ,ACM Air Charter ,BAVARIAN 
ALG ,Air Logistics ,AIRLOG 
ALL ,Aerovallarta ,VALLARTA 
AWE ,America West Airlines ,CACTUS 
TNO ,Aerotransporte de Carga Union ,AEROUNION 
TND ,Aero Taxis Cessna ,TAXIS CESSNA 
TMP ,Arizona Express Airlines ,TEMPE 
ALO ,Allegheny Commuter Airlines ,ALLEGHENY 
ALP ,Allpoints Jet ,ALLPOINTS 
ALP ,Alpliner AG ,ALPINER 
ALQ ,Altair Aviation (1986) ,ALTAIR 
ALV ,Aeropostal Alas de Venezuela ,AEROPOSTAL 
ALW ,"Alas Nacionales, S.A. ",ALNACIONAL 
ALY ,Alyeska Air Service ,ALYESKA 
AMA ,ATMA ,ADIK 
AMD ,Aerolíneas Medellín ,AEROLINEAS MEDELLIN 
AMF ,Ameriflight ,AMFLIGHT 
AMH ,Alan Mann Helicopters Ltd. ,MANN 
AMJ ,Aviation Amos ,AVIATION AMOS 
AMK ,Amerer Air ,AMER AIR 
AMM ,Aeroputul International Marculesti ,AEROM 
AMP ,Aero Transporte S.A. (ATSA) ,ATSA 
AMQ ,Aeromedicare Ltd. ,LIFELINE 
AMQ ,Aircraft Management and Consulting ,AMEX 
AMT ,ATA Airlines ,AMTRAN 
AMX ,Aeroméxico ,AEROMEXICO 
AMZ ,Amiya Airline ,AMIYA AIR 
ANC ,Anglo Cargo ,ANGLO 
BRP ,AeroBratsk ,AEROBRA 
ANH ,Alajnihah for Air Transport ,ALAJNIHAH 
ANM ,Aerotransportacion de Norteamerica ,NORAM 
ANM ,"Antares Airtransport, Maintenance & Service GmbH ",ANTARES 
ANO ,Airnorth ,TOPEND 
ANQ ,Aerolínea de Antioquia ,ANTIOQUIA 
ANS ,Andes Líneas Aéreas ,AEROANDES 
AOM ,AOM French Airlines ,French Lines 
ANW ,"Aviación Del Noroeste, S.A. de C.V. ",AVINOR 
SAP ,Avia Jaynar ,TOBOL 
EMS ,Aero Servicios Empresariales ,SERVIEMPRESARIAL 
AOA ,"Alcon Servicios Aéreos, S.A. de C.V. ",ALCON 
AOC ,AVCOM ,AERO AVCOM 
AOD ,Aero Vodochody ,AERO CZECH 
AOF ,Atair Pty Ltd. ,ATAIR 
AOG ,Aero VIP ,AVIP 
MUN ,Aeromundo Ejecutivo ,AEROMUNDO 
MUR ,Aerolínea Muri ,MURI 
AOI ,"Astoria, Inc. ",ASTORIA 
NRO ,Aero Rent JSC ,AEROMASTER 
NRP ,Aeronord-Grup ,AERONORD 
AOL ,Angkor Airlines ,ANGKOR AIR 
AON ,Aero Entreprise ,AERO ENTERPRISE 
AOO ,"As, Opened Joint Stock Company ",COMPANY AS 
AOP ,Aeropiloto ,AEROPILOTO 
VIV ,Aeroenlaces Nacionales ,AEROENLACES 
VIZ ,Aerovis Airlines ,AEROVIZ 
VGF ,Aerovista Gulf Express ,VISTA GULF 
VER ,Almaver ,ALMAVER 
AOR ,Afro International Ent. Limited ,INTER-AFRO 
SMX ,Alitalia Express ,ALIEXPRESS 
AOT ,Asia Overnight Express ,ASIA OVERNIGHT 
AOV ,Aero Vision ,AEROVISION 
AOX ,Aerotaxi Del Valle ,AEROVALLE 
APC ,"Airpac Airlines, Inc. ",AIRPAC 
SVM ,Aeroservicios Monterrey ,SERVIMONTE 
APF ,Amapola Flyg AB ,AMAPOLA 
APH ,"Alpha Aviation, Inc. ",AIRFLIGHT 
API ,"ASA Pesada, Lda. ",ASA PESADA 
APJ ,Peach Aviation ,AIR PEACH 
PET ,Aerotransporte Petrolero ,AEROPETRO 
ARF ,Aero Flight ,Aero Fox 
BJT ,ACM Aviation ,BAY JET 
BKL ,Aircompany Barcol ,BARCOL 
BLA ,All Charter Limited ,ALL CHARTER 
APL ,"Appalachian Flying Service, Inc. ",APPALACHIAN 
APM ,"Airpac, Inc. ",ALASKA PACIFIC 
APO ,Aeropro ,AEROPRO 
APP ,"Aerolíneas Pacífico Atlántico, S.A. (Apair) ",AEROPERLAS 
APQ ,Aspen Aviation ,ASPEN BASE 
APU ,"Aeropuma, S.A. ",AEROPUMA 
APW ,Arrow Air ,BIG A 
APX ,Apex Air Cargo ,PARCEL EXPRESS 
APY ,APA Internacional ,APA INTERNACIONAL 
AQA ,"Aeroatlas, S.A. ",ATCO 
AQL ,Aquila Air Ltd. ,AQUILA 
AQO ,Aluminum Company Of America ,ALCOA SHUTTLE 
AQT ,"Aviones de Renta de Quintana Roo, S.A. de C.V. ",AVIOQUINTANA 
AQU ,AirQuarius Aviation ,QUARIUS 
AQZ ,Aerodyne Charter Company ,QUANZA 
ARA ,Arik Air ,ARIK AIR 
ARB ,Avia Air N.V. ,AVIAIR 
AWT ,Albawings ,ALBAWINGS 
ARE ,"Aires, Aerovías de Integración Regional, S.A. ",AIRES 
ARG ,Aerolíneas Argentinas ,ARGENTINA 
ARH ,Arrowhead Airways ,ARROWHEAD 
ARI ,Aero Vics ,AEROVICS 
SUO ,Aeroservicios De San Luis ,SERVICIO SANLUIS 
SUP ,Aerosuper ,AEROSUPER 
ARK ,Aero Link Air Services S.L. ,LINK SERVICE 
ARL ,Airlec - Air Aquitaine Transport ,AIRLEC 
ARM ,Aeromarket Express ,AMEX 
ARO ,Arrow Aviation Ltd. ,ARROW 
KLD ,Air Klaipėda ,AIR KLAIPEDA 
ARQ ,"Armstrong Air, Inc. ",ARMSTRONG 
ARS ,Aeromet Servicios ,METSERVICE 
ART ,Aerotal Aerolíneas Territoriales de Colombia Ltda. ,AEROTAL 
ARV ,Aravco Ltd. ,ARAVCO 
ARW ,Aria ,ARIABIRD 
OST ,Airline Alania ,ALANIA 
HUC ,Aerolíneas de Techuacán ,LINEAS TEHUACAN 
HUT ,Aerotransportes Huitzilin ,AEROHUITZILIN 
HUY ,Aero Transportes Del Humaya ,AERO HUMAYA 
ARY ,Argosy Airways ,GOSEY 
ASA ,"Alaska Airlines, Inc. ",ALASKA 
ASE ,Airstars ,MOROZOV 
ASF ,"Air Schefferville, Inc. ",SCHEFF 
ASG ,African Star Airways (PTY) Ltd. ,AFRICAN STAR 
ASI ,"Aerosun International, Inc. ",AEROSUN 
ASM ,Awesome Flight Services (PTY) Ltd. ,AWESOME 
ASO ,Aero Slovakia ,AERO NITRA 
ASP ,Airsprint ,AIRSPRINT 
ASR ,"All Star Airlines, Inc. ",ALL STAR 
AST ,Aerolíneas Del Oeste ,AEROESTE 
NRE ,Aviones Are ,AVIONES ARE 
WAP ,Arrow Panama ,ARROW PANAMA 
ASV ,Astravia-Bissau Air Transports Ltd. ,ASTRAVIA 
ASZ ,Astrakhan Airlines ,AIR ASTRAKHAN 
ATB ,Atlantair Ltd. ,STARLITE 
ATD ,Aerotours Dominicana ,AEROTOURS 
ATE ,"Atlantis Transportation Services, Ltd. ",ATLANTIS CANADA 
ATG ,Aerotranscargo[6] ,MOLDCARGO 
ATK ,AeroTACA ,AEROTACA 
ATM ,Airlines of Tasmania ,AIRTAS 
CPV ,Air Corporate ,AIRCORPORATE 
ATP ,ASTRAL Colombia - Aerotransportes Especiales Ltda. ,ASTRAL 
FEO ,Aeroferinco ,FERINCO 
FES ,Aero Taxis Y Servicios Alfe ,AERO ALFE 
FFA ,Avialesookhrana ,AVIALESOOKHRANA 
FFB ,Africair Service ,FOXTROT FOXTROT 
ATR ,Atlas Airlines ,ATLAS-AIR 
ATT ,Aer Turas ,AERTURAS 
ATU ,Atlant Aerobatics Ltd. ,ATLANT HUNGARY 
ATV ,Avanti Air ,AVANTI AIR 
ATW ,Aero Trades (Western) Ltd. ,AERO TRADES 
AUA ,Austrian Airlines ,AUSTRIAN 
AUB ,Augsburg Airways ,AUGSBURG-AIR 
TUP ,Aviastar-Tu ,TUPOLEVAIR 
ABW ,AirBridge Cargo ,AIRBRIDGE CARGO 
TXU ,ATESA Aerotaxis Ecuatorianos ,ATESA 
TXX ,Austin Express ,COWBOY 
AUD ,"Audi Air, Inc. ",AUDI AIR 
AUF ,Augusta Air Luftfahrtunternehmen ,AUGUSTA 
AUH ,Abu Dhabi Amiri Flight ,SULTAN 
AUM ,Air Atlantic Uruguay ,ATLAMUR 
AUN ,Aviones Unidos ,AVIONES UNIDOS 
SVE ,Aero Servicios Expecializados ,AEROESPECIAL 
AUR ,Aurigny Air Services ,AYLINE 
AUT ,Austral Líneas Aéreas ,AUSTRAL 
AUU ,"Aurora Aviation, Inc. ",AURORA AIR 
AUY ,"Aerolíneas Uruguayas, S.A. ",AUSA 
AUZ ,Australian Airlines ,AUSTRALIAN 
AVA ,Avianca ,AVIANCA 
MCJ ,Avianca Argentina ,JETMAC 
ONE ,Avianca Brazil ,OCEAN AIR 
AVB ,Aviation Beauport ,BEAUPAIR 
AVF ,Aviair Aviation Ltd. ,CARIBOO 
AVH ,AV8 Helicopters ,KENT HELI 
AVJ ,Avia Traffic Company ,ATOMIC 
AVK ,AV8 Helicopters ,AVIATE-COPTER 
